Date,RTGS_Vol,RTGS_Val,NEFT_Vol,NEFT_Val,AePS_Vol,AePS_Val,UPI_Vol,UPI_Val,IMPS_Vol,IMPS_Val,NACH Credit_Vol,NACH Credit_Val,NACH Debit_Vol,NACH Debit_Val,NETC_Vol,NETC_Val,BBPS_Vol,BBPS_Val,CTS_Vol,CTS_Val,CreditCard_POS_Vol,CreditCard_POS_Val,CreditCard_Ecommerce_Vol,CreditCard_Ecommerce_Val,DebitCard_POS_Vol,DebitCard_POS_Val,DebitCard_Ecommerce_Vol,DebitCard_Ecommerce_Val,PPI_POS_Vol,PPI_POS_Val,PPI_Ecommerce_Vol,PPI_Ecommerce_Val,NFS_ATM_Vol,NFS_ATM_Val,AePS_microATM_Vol,AePS_microATM_Val,Government_Securities_Clearing_Vol,Government_Securities_Clearing_Val,Forex_Clearing_Vol,Forex_Clearing_Val,Rupee_Derivatives_Vol,Rupee_Derivatives_Val,GSC_Holiday,Year,Month,Month_Name,FY
2024-04-01,0.76502,17533.626372148003,26.92938,30073.669396476,0.36,12.65,4081.77,65707.52,240.94,25366.46,3.1100000000000003,757.02,40.38,3618.88,105.67,189.37,43.77,1031.95,,,26.23873,1117.5187672,39.60042000000001,2751.9941702,29.40576,761.3448917,12.6886,434.50022449999994,0.62972,9.603303499999999,0.7433,13.5303318,105.9,4687.69,25.0,733.97,,,,,,,False,2024,4,April,FY2024-25
2024-04-02,13.07831,1229851.0715706688,411.34372,219355.700292199,0.56,19.74,4376.71,78992.68,256.87,28349.3,74.35,10907.5,136.16,9555.44,100.27,180.58,50.6,1315.64,37.34,49858.24,69.40652,3205.9041598000003,83.21307,6489.817485,57.09751,1567.7942313,28.59252,1035.4499472,0.93988,21.0110789,1.35174,54.5604895,118.28,5630.46,34.41,999.47,0.05842,788116.0390000001,0.155675,580271.97,0.00683,42935.0,False,2024,4,April,FY2024-25
2024-04-03,10.59144,776476.282540132,287.14959,139377.305542421,0.58,19.82,4574.56,81612.52,201.07,25701.92,111.19,4321.37,144.53,9618.54,104.42,188.02,54.21,1291.99,25.99,37015.61,29.56567,1445.3390018,37.93418,3174.7135114,33.01528999999999,869.3519532,15.5418,536.6100682,0.8113100000000002,20.1201912,1.13757,46.3309283,127.31,6251.42,36.66,1045.44,0.05604,786404.092,0.125105,381483.23,0.00482,17435.0,False,2024,4,April,FY2024-25
2024-04-04,9.81395,734530.481948045,265.4463,126111.83591072,0.56,18.25,4637.32,80339.98,202.16,25475.57,273.28,7241.78,49.08,6297.6,106.04,191.76,52.36,1294.04,23.61,35779.11,36.01483,1849.1906099,47.12615,3963.1251524,37.364,1046.4859889,17.18327,626.7071759,0.81014,17.914075999999998,1.54836,71.3773626,117.74,5653.52,34.87,961.44,0.06356,778661.8984095,0.086655,303460.19,0.00708,85735.0,False,2024,4,April,FY2024-25
2024-04-05,10.00607,699058.883796993,287.18951,137545.5170423,0.54,16.96,4683.52,76592.44,201.99,23931.64,189.08,5367.83,250.05,25705.53,107.5,193.24,56.0,1482.1,22.62,31311.3,34.40186,1718.4074954,46.279219999999995,3747.3101465,34.34693,951.9540402,16.56792,591.6383338,0.84291,19.8528936,1.39788,60.8467965,115.57,5428.63,34.68,919.54,0.06065,804176.6415409,0.126695,347608.77999999997,0.0063,46230.0,False,2024,4,April,FY2024-25
2024-04-06,8.61196,256425.143864792,338.13559,129086.363659595,0.5700000000000001,17.67,4683.34,75139.67,194.38,21805.7,147.15,4919.34,26.61,4184.22,113.85,198.15,50.43,1176.46,21.04,27737.48,32.35183,1462.8315045,32.91946,2250.283823,31.56917,870.2635776,11.40224,369.7700988,1.45945,21.9619579,1.40034,66.8740376,121.73,5770.9,35.18,915.23,0.00143,12461.04,0.0,0.0,0.0,0.0,False,2024,4,April,FY2024-25
2024-04-07,1.18482,17425.817147703,147.94827,20612.479218658,0.59,16.779999999999998,4732.2,62137.33,181.61,14897.31,1.14,387.14,62.69,6061.5,111.03,193.74,42.51,853.8,,,33.96328,1410.2514235,25.90772,1546.6481137,30.90841,807.4034913,10.17688,264.85542,1.34729,20.436991300000003,1.10112,44.165870600000005,114.86,5049.75,30.4,758.08,,,,,,,False,2024,4,April,FY2024-25
2024-04-08,10.96164,748775.929312333,295.09302,140097.320108617,0.68,19.889999999999997,4645.73,78463.35,202.47,23619.54,141.91,4082.42,63.18,5692.67,102.33,178.25,55.31,1360.52,24.74,28218.01,55.24543,2557.130679,62.459230000000005,4374.9263509,47.59952,1320.1629389,20.06422,663.436715,1.11678,19.9686425,1.21329,45.7877495,122.0,5683.56,38.83,1016.57,0.07607,830896.393597,0.097715,316505.04,0.00818,32785.0,False,2024,4,April,FY2024-25
2024-04-09,6.52603,157666.850892242,236.20294,91035.513840919,0.65,19.880000000000003,4729.93,73005.91,193.97,20065.14,149.28,3469.84,27.81,2449.42,96.76,173.93,49.74,1137.64,13.37,16546.74,26.764,1317.7105562000002,37.86988,2639.2399443,27.82685,795.1683787,11.59172,379.7164698,1.32246,19.6337341,1.33906,46.5966655,117.76,5400.71,34.73,904.64,,,,,,,False,2024,4,April,FY2024-25
2024-04-10,10.96088,847887.312033358,299.41554,170546.742570942,0.73,21.22,4787.3,77281.73,203.97,22308.06,126.28,4027.85,159.78,20357.9,100.04,171.9,55.11,1456.39,27.09,32213.79,42.20929,1989.253285,50.192440000000005,3668.9759245,39.58033999999999,1107.6968729,16.86861,584.1417063,1.16732,19.5735409,1.20043,42.9585371,125.71,5805.63,37.33,969.29,0.06347,805838.937,0.129945,321024.01,0.00429,22925.0,False,2024,4,April,FY2024-25
